Player,Team/Game,Line,Odds,Book Implied,Fair Est.,Edge
Alec Bohm,San Diego Padres @ Philadelphia Phillies,0.5,-234,70.1%,73.6%,3.5%
Jose Ramirez,Cleveland Guardians @ New York Yankees,0.5,-235,70.2%,73.7%,3.5%
Salvador Perez,Kansas City Royals @ Minnesota Twins,0.5,-239,70.5%,74.0%,3.5%
Casey Schmitt,San Francisco Giants @ Milwaukee Brewers,0.5,-241,70.7%,74.2%,3.5%
Kody Clemens,Kansas City Royals @ Minnesota Twins,0.5,-243,70.9%,74.4%,3.5%
Vladimir Guerrero Jr.,Toronto Blue Jays @ Atlanta Braves,0.5,-251,71.5%,75.1%,3.6%
Ben Rice,Cleveland Guardians @ New York Yankees,0.5,-252,71.6%,75.2%,3.6%
Michael Busch,Athletics @ Chicago Cubs,0.5,-253,71.7%,75.3%,3.6%
Willson Contreras,Baltimore Orioles @ Boston Red Sox,0.5,-258,72.1%,75.7%,3.6%
Byron Buxton,Kansas City Royals @ Minnesota Twins,0.5,-260,72.2%,75.8%,3.6%
Trea Turner,San Diego Padres @ Philadelphia Phillies,0.5,-262,72.4%,76.0%,3.6%
Taylor Ward,Baltimore Orioles @ Boston Red Sox,0.5,-264,72.5%,76.2%,3.6%
Michael Harris II,Toronto Blue Jays @ Atlanta Braves,0.5,-266,72.7%,76.3%,3.6%
Ceddanne Rafaela,Baltimore Orioles @ Boston Red Sox,0.5,-270,73.0%,76.6%,3.6%
Brooks Lee,Kansas City Royals @ Minnesota Twins,0.5,-273,73.2%,76.8%,3.7%
